"R0000100","R0214700","R0214800","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900"
70,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-5,1,1,-5,1,3,3
71,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,3,1,1,-5,-5,-5,-5,3,-5
72,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3,1,0,0,0,0,0,0,0,0,-5,0,0,-5,-5,-5,0,0,0,-5,0,0,0,0,1,1,-5
74,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
76,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
77,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,1,-5,-5,-5
79,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
80,3,1,0,0,0,0,0,-5,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,-5,-5,-5
82,2,1,0,0,0,-5,-5,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,0,-5,-5
83,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3
85,2,1,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0
86,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
89,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5
90,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1
92,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
93,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
94,3,1,0,0,0,0,0,0,0,1,1,-5,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1
95,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,3,2,0,0,-5,1,-5,-5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
100,3,2,0,0,0,0,0,-5,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,3
101,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,1,-5,-5,1,-5
102,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,1,1,1,1,1,1
103,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,2,3
104,3,2,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0,-5,-5,-5,-5,-5,-5
105,3,2,0,0,0,0,0,0,1,1,1,2,3,3,3,1,1,1,2,3,3,-5,3,3,3,3,3
106,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
107,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
108,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
109,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
110,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,3,2,0,0,0,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,-5,6,6,6,6,6,6
113,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,3,1,0,0,1,1,1,1,1,-5,1,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,3,2,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,3,2,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,3,2,0,0,0,1,1,2,2,2,-5,-5,3,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
119,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1
123,3,1,0,0,0,0,0,0,1,-5,1,1,1,1,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,3,2,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3
125,3,1,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5
126,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1
127,3,1,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,-5,1,1,1,2
129,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,3,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1
134,3,1,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,1,-5
135,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,1,1
136,3,2,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-5,-5,3,1,1,1,1,1,1,2
140,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1
142,3,1,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,1,-5,1,1,-5,-5,-5,-5,1,1
143,3,2,0,1,1,1,1,1,1,1,-5,-5,-5,-5,1,1,1,1,1,1,-5,-5,1,1,1,1,-5
144,3,2,0,0,0,0,0,0,0,0,0,0,1,6,6,1,1,1,1,1,1,1,1,1,-5,1,1
145,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,3,1,0,0,0,0,0,0,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
147,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5
152,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1
153,3,2,0,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
154,3,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,3,1,0,0,0,0,1,1,1,1,3,1,1,3,3,1,2,2,3,3,3,3,3,-5,-5,3,3
156,3,1,0,-5,1,1,1,2,3,3,-5,-5,-5,3,3,3,3,1,-5,-5,1,1,3,3,3,3,3
157,3,2,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,-5,1,-5,1,-5,-5,1,1,1
158,3,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-5,1
159,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5
160,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1
161,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
162,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5
163,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,3,2,0,0,1,2,-5,-5,3,3,3,3,3,1,1,1,3,3,3,-5,1,-5,-5,-5,-5,-5,1
165,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1
167,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,-5,-5,-5,-5,-5
168,2,1,0,0,0,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3
169,2,2,0,0,-5,-5,0,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
170,3,2,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
171,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,0,0,0,0,0
173,3,1,0,0,-5,-5,0,0,0,1,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,3,2,0,-5,0,1,1,1,1,1,-5,-5,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,2,2,3
176,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,3,1,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,-5,-5,2,-5,-5,-5,-5,-5,2,-5
178,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,3,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
181,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1
182,3,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
183,3,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,-5
184,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
185,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
187,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,3,2,0,0,0,0,0,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
189,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3
191,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
192,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-5,-5,-5,1,1,1,1,-5,-5,-5,-5
195,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
196,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
197,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,-5,3
198,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1,1,1,1,1,1
199,3,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,1,1,1,1,1,1,1,1,1
200,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,1,1,1,1,1,1,1
201,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1
202,3,1,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1,2,0,0,0,0,0,0,-5,-5,-5,-5,-5,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,1,2,2,3,-5,-5,3,-5,-5,-5,1,2,2,3,3,3,3,3,3,3,3,-5,-5,-5,-5,3,1
205,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,3,1,0,0,-5,0,1,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5
207,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,-5
208,3,2,0,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
209,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
210,3,1,0,0,-5,0,0,0,0,0,0,1,1,2,3,3,3,3,3,-5,1,1,1,1,1,1,1
211,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
212,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5
214,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,1,1,1
215,3,1,0,0,0,0,0,0,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,3,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,-5,-5,-5,-5,-5,-5,1,1,-5
217,3,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
220,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3
221,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,1,1,1,1,1,1
224,2,2,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
