"R0000100","R0046300","R0214700","R0214800","R0263300","R0263400","R0446300","R0702000","R0828000","R0944900","R0945300","R1255300","R1255700","R1650100","R1650500","R1922700","R1923100","R2317500","R2317900","R2525300","R2525700","R2924300","R2924700","R3127000","R3127400","R3522700","R3523100","R3727700","R3728100","R4182000","R4193700","R4587901","R4587903","R5270500","R5270900","R6472100","R6473700","R6591300","R6592900","R7209100","R7209600","R7897500","R7898000","T0137900","T0138400","T1297500","T1298000","T2326000","T2326500","T3308200","T3308700"
1,717,3,2,-5,-5,717,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,339,3,2,339,305,339,339,337,339,337,339,23,339,386,339,23,339,23,339,337,339,389,339,23,339,337,339,23,339,337,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,8680,4720,8680,4720,8680,4720,8680,4720,8680,4720
3,707,3,2,707,321,-5,707,383,-4,-4,-4,-4,707,383,-4,-4,848,447,778,468,857,155,857,468,339,373,657,188,697,243,-4,-4,-4,-4,697,243,339,19,569,495,-5,-5,9090,430,9090,4650,-5,-5,8990,4320
4,-4,3,2,-5,-5,-4,609,274,-4,-4,-4,-4,-4,-4,849,313,849,313,849,313,849,313,849,313,-5,-5,718,313,849,313,-5,-5,849,313,849,178,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,858,3,1,858,330,858,917,355,858,223,849,223,-5,-5,849,178,-5,-5,849,178,849,178,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,3,1,858,753,-4,858,335,339,389,848,223,729,203,729,203,887,235,839,223,848,223,897,208,729,386,729,203,858,235,235,858,858,83,-5,-5,858,19,787,593,7870,5930,9990,430,7870,430,7870,360,7870,2710
7,-4,3,1,628,762,628,757,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,327,889,364,317,318,749,318,749,318,749,427,471,4270,4710,6690,8140,6690,8140,2190,8640,-5,-5
8,618,3,2,-4,-4,669,297,444,669,444,728,444,-3,-3,669,444,737,319,707,389,707,389,708,389,707,389,707,339,707,389,25,707,707,25,707,234,707,234,687,214,6870,2140,6870,5220,6870,5220,6870,5220,6870,830
9,809,3,1,757,780,757,648,885,757,505,507,505,647,505,647,337,647,19,647,19,697,243,648,19,757,503,757,19,757,19,503,757,757,19,757,505,757,505,877,12,8770,10,8770,10,8770,10,8770,10,8770,10
10,-4,3,2,669,914,838,839,446,769,405,839,444,669,444,-5,-5,-5,-5,839,447,-5,-5,669,276,839,97,839,446,839,446,447,838,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,858,3,1,-5,-5,669,888,389,707,389,189,19,189,376,-5,-5,-5,-5,-5,-5,189,259,189,274,189,259,739,256,339,257,257,339,698,277,248,259,698,19,559,43,5170,4760,-5,-5,-5,-5,-5,-5,-5,-5
12,-4,3,2,608,280,-4,707,23,707,23,707,23,707,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,709,7,7,709,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,728,3,1,728,902,779,728,453,728,453,779,558,728,19,728,19,728,19,728,19,728,448,728,19,728,448,478,19,728,448,448,728,728,448,728,19,728,19,769,422,7690,4220,7690,4220,-5,-5,-5,-5,-5,-5
14,677,3,2,-4,-4,-4,769,406,809,459,858,424,717,313,707,307,707,23,57,337,587,23,587,23,697,23,568,23,568,23,877,677,527,23,527,23,849,23,727,80,7270,800,9990,120,7580,800,6990,120,6990,800
15,-4,3,1,769,980,-4,-4,-4,809,486,937,588,678,365,678,365,67,366,917,19,-4,-4,-4,-4,567,259,567,274,567,259,259,567,567,259,567,263,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
16,707,3,2,-4,-4,387,259,313,387,313,329,223,329,313,337,178,849,313,849,313,849,313,849,313,849,313,849,313,849,313,313,849,849,313,849,313,849,313,727,570,7270,5700,7270,5700,7270,110,7270,5700,7270,5700
17,627,3,1,697,231,677,677,243,697,19,677,33,77,869,67,869,69,558,69,558,69,567,69,653,69,567,69,567,748,889,567,69,69,567,67,558,69,13,77,470,770,4700,9570,6660,-4,6660,9570,6660,9570,6660
18,669,3,1,539,374,668,197,243,587,274,697,274,697,274,697,274,539,274,539,274,748,274,248,274,748,525,739,274,697,274,259,539,698,274,697,13,697,19,417,485,4170,4850,4170,4850,4170,4850,4170,4850,4170,4760
19,669,3,2,848,371,858,747,313,-5,-5,-4,-4,-4,-4,697,313,889,313,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-4,-4,-5,-5
20,669,3,2,-4,-4,-4,888,217,888,217,197,217,208,217,208,217,227,185,208,44,227,57,177,44,729,217,738,217,897,217,217,897,897,217,77,57,77,217,729,146,7290,1460,7290,1460,7290,1460,-5,-5,7290,300
21,609,3,2,609,280,539,669,435,809,319,678,276,19,313,339,13,339,13,339,19,339,256,339,13,339,13,339,19,339,19,633,339,339,13,339,166,727,13,747,480,7470,4800,5590,40,5590,50,5590,50,7390,1810
22,628,3,2,669,914,669,669,276,669,404,669,438,239,225,737,274,888,313,887,37,887,197,887,313,887,313,887,313,887,379,19,887,887,389,897,277,897,19,917,496,9170,10,9990,4960,9170,420,9170,1060,9170,1060
23,189,3,1,-4,-4,-4,259,888,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,717,25,717,166,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,-4,3,1,729,162,248,259,769,69,769,-5,-5,809,159,618,806,669,547,539,889,618,806,618,806,-5,-5,618,806,618,806,805,669,669,805,417,805,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,-4,3,2,829,921,829,828,445,828,678,829,208,829,445,829,445,829,445,829,445,829,445,829,445,829,445,829,445,847,446,446,847,829,445,829,445,829,445,798,364,7980,3640,7980,3640,7980,3640,7980,3640,7980,3640
26,658,3,1,677,280,858,858,276,668,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6070,9030,6070,9030
27,628,3,2,707,325,707,707,23,707,23,707,7,739,229,739,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,619,277,277,619,867,159,739,19,739,337,-4,-4,-4,-4,-4,-4,7380,5140,7390,5120,7390,5120
28,-4,3,2,769,980,628,657,274,669,435,707,315,707,308,707,7,707,23,707,337,707,19,707,303,669,435,669,435,669,434,434,669,669,434,448,327,448,327,-5,-5,-5,-5,-5,-5,-5,-5,5580,4700,-5,-5
29,708,3,2,707,301,-4,707,383,707,383,707,7,707,7,707,7,707,7,707,19,707,383,707,7,707,25,707,19,707,7,7,707,707,7,707,7,707,7,687,12,6870,120,6870,120,6870,120,8680,4150,8680,4150
30,677,3,2,677,231,467,448,313,-5,-5,448,313,448,313,207,389,449,315,587,337,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,-4,1,1,669,913,-4,-4,-4,319,364,-4,-4,219,505,208,689,259,785,529,889,587,356,449,523,449,523,447,523,449,523,523,449,-5,-5,449,523,447,523,667,712,6670,7120,6670,7120,6670,7120,6670,5240,6670,5240
32,628,1,2,-5,-5,887,838,313,609,274,657,243,657,274,689,274,657,29,657,37,657,243,-5,-5,-5,-5,657,19,657,243,243,657,657,19,-5,-5,-5,-5,-5,-5,4770,4760,7860,2320,-5,-5,7860,2320,-5,-5
33,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,628,877,887,389,887,889,888,887,999,999,-5,-5,-5,-5,-5,-5,-5,-5,9990,7750,-4,-4,9990,7750,9990,7750
34,417,3,1,757,472,639,757,514,757,505,757,514,757,514,639,514,639,514,757,14,757,759,639,514,639,514,639,503,639,514,375,639,757,505,757,514,897,19,746,43,7490,1810,7490,1810,2290,1920,2290,430,8770,7200
35,-4,3,2,-4,-4,-4,-4,-4,-4,-4,628,389,609,385,609,385,609,363,657,796,609,29,609,796,609,888,697,746,609,796,796,609,778,468,857,14,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,669,3,1,-4,-4,388,389,745,389,558,397,777,68,869,-5,-5,77,584,69,573,648,243,648,243,648,243,648,243,648,243,-3,11,69,554,69,19,69,19,77,43,770,430,770,430,770,6230,770,6230,770,6260
37,-4,3,2,168,372,158,158,313,347,313,347,389,368,313,508,313,558,313,377,13,347,313,378,313,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,857,313,857,313,786,570,7860,5700,7860,5700,7860,5700,7860,5700,7860,5700
38,-4,3,2,-4,-4,658,707,383,707,383,717,383,757,319,757,319,927,23,927,338,927,338,927,338,927,338,927,338,927,338,338,927,927,5,927,305,927,305,947,500,9470,5000,9470,5000,9470,620,9470,620,9470,620
39,669,3,1,-5,-5,669,839,437,839,437,838,437,669,433,669,433,669,433,669,19,669,19,669,19,669,433,669,433,669,19,19,669,669,13,669,27,669,19,868,43,8680,310,5090,20,5090,20,5090,20,5090,20
40,417,3,1,-4,-4,-4,239,777,168,637,917,637,-4,-4,917,777,77,889,917,637,227,633,917,637,-4,-4,-4,-4,-4,-4,27,917,917,27,917,27,917,27,987,62,9590,620,9590,620,6990,620,7580,8600,7580,8600
41,-4,3,1,-4,-4,-4,777,424,777,424,777,424,777,449,718,254,718,254,219,269,639,269,757,19,647,243,757,19,647,243,19,647,647,19,-5,-5,647,243,469,470,4690,4700,4690,4700,4690,4700,4690,4700,4690,4700
42,-4,3,1,669,912,-4,287,889,669,438,777,453,777,453,-4,-4,-4,-4,-4,-4,67,849,67,567,67,567,527,877,527,883,883,527,628,889,669,549,669,549,868,734,8680,7340,4470,7210,4470,7210,4470,7210,4470,7210
43,427,3,2,669,915,628,669,435,669,435,669,435,669,435,669,435,669,435,669,276,669,276,669,276,669,435,319,796,-4,-4,-4,-4,628,276,628,276,669,439,538,472,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
44,-4,3,2,-4,-4,717,717,375,-4,-4,627,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,628,276,857,387,857,387,-5,-5,857,387,-4,-4,-4,-4,-4,-4,-4,-4,7290,5860,7290,5860,7290,5860,7290,5860
45,-4,3,1,417,753,417,328,805,329,804,757,804,219,804,417,359,77,359,559,359,127,359,127,359,69,19,67,567,68,869,19,69,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,769,3,2,838,325,838,838,313,-4,-4,-4,-4,838,203,838,208,838,203,838,208,838,203,838,203,838,203,838,95,838,95,75,838,839,95,839,95,839,95,827,313,8270,3130,8270,3130,8270,3130,-5,-5,-5,-5
47,227,3,1,227,461,227,227,637,187,634,227,637,227,769,227,684,227,637,227,689,258,549,227,19,227,637,227,637,227,703,703,227,258,637,227,637,227,508,359,801,3590,8030,2880,8030,2880,7330,2880,7140,2880,7140
48,717,3,1,449,554,-5,449,577,447,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,449,213,-5,-5,807,213,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,187,3,2,159,305,849,849,337,849,337,849,337,849,337,849,337,849,337,849,337,849,337,849,337,849,337,718,337,849,337,337,849,849,19,849,19,849,19,727,43,7270,2140,7070,410,7070,5120,7070,5120,7070,5120
50,149,3,2,147,446,337,398,315,138,315,727,315,717,347,717,315,748,315,887,315,778,468,717,315,738,315,717,315,778,468,468,778,769,406,417,777,417,777,638,552,6380,5520,6970,5700,6970,5700,6970,5700,6970,5700
51,197,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,227,3,1,227,162,177,759,19,759,689,138,65,69,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,570,10
53,-4,1,1,-4,-4,728,669,436,-4,-4,728,453,669,438,748,466,748,189,757,864,747,426,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,619,277,-4,-4,-4,-4,8090,4220,9160,4230,8370,7010,8370,1100
54,68,3,1,-4,-4,417,478,875,417,804,478,875,478,875,559,804,937,855,68,805,917,844,68,599,69,853,937,777,68,844,-5,-5,779,748,759,585,759,585,887,952,-5,-5,-5,-5,-5,-5,770,6730,-5,-5
55,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-4,3,2,-4,-4,669,648,276,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,-4,3,2,769,613,-4,717,253,717,389,717,375,49,313,738,337,738,5,717,313,449,189,447,187,447,228,807,189,447,19,19,447,807,187,447,187,447,187,859,462,7860,4620,8680,50,8680,50,8680,4010,8680,4010
58,859,3,2,859,32,859,859,164,859,164,937,19,859,19,859,164,859,19,859,19,859,19,937,19,859,19,859,15,859,164,164,859,859,164,859,243,859,243,-5,-5,6770,20,6770,20,6770,4710,6770,230,6770,230
59,68,3,1,688,705,688,468,534,728,359,339,736,339,736,339,736,339,736,339,736,339,736,339,736,339,19,339,379,339,736,736,339,339,736,339,734,339,734,199,826,1990,8260,1990,8260,1990,8260,1990,8260,1990,8260
60,649,3,1,107,761,187,-5,-5,338,777,539,549,587,549,758,538,339,55,398,235,339,518,339,549,197,259,339,547,338,518,518,338,338,235,339,547,398,549,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
61,669,3,2,669,915,707,707,319,707,389,917,307,917,389,917,19,927,27,717,376,809,426,717,253,717,253,717,307,717,243,375,717,717,23,717,253,717,229,699,102,6990,1020,6990,1020,6990,1010,6990,1010,6990,1010
62,-4,3,2,-4,-4,-4,669,435,607,275,748,637,669,438,669,444,227,315,849,313,849,313,849,313,849,313,849,234,849,234,234,849,849,234,849,234,849,234,998,512,7270,5120,7270,5120,3580,5700,3580,5700,3580,5700
63,838,3,1,-4,-4,-4,588,883,777,276,777,813,609,229,609,229,609,229,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,609,19,19,609,609,243,609,19,609,19,538,43,5380,110,5380,110,5380,110,5380,110,5380,430
64,807,3,1,858,694,717,717,308,717,375,717,375,669,469,718,308,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,-4,3,2,748,385,628,838,313,717,389,669,439,828,335,828,337,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,-4,3,1,-4,-4,478,657,365,678,365,77,869,717,357,157,856,77,889,69,567,108,785,937,844,-5,-5,937,856,68,844,844,68,68,844,937,844,-5,-5,77,913,770,9130,770,6200,770,6320,770,6320,770,6320
67,867,3,1,669,916,377,558,274,49,274,738,223,-5,-5,-5,-5,709,5,539,166,189,19,709,255,709,19,709,7,707,7,7,707,709,243,-5,-5,-5,-5,697,12,-5,-5,-4,-4,6970,840,6970,840,6970,840
68,769,3,2,69,305,-4,737,315,339,195,858,153,897,229,739,229,739,184,739,64,739,229,739,166,739,65,739,313,739,159,159,739,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
69,-4,3,1,-4,-4,809,809,175,708,376,707,335,809,277,897,274,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,717,64,64,717,717,7,717,7,717,7,699,12,6990,120,6470,5000,6470,5000,6470,5000,7670,10
70,937,3,1,809,932,-4,858,567,807,567,809,569,677,29,677,877,69,218,888,216,677,877,738,53,678,243,678,243,678,365,365,678,678,274,678,243,-5,-5,499,470,770,6420,-5,-5,-4,-4,8560,9620,8560,9620
71,338,3,1,677,310,809,697,274,809,459,697,274,697,274,809,459,858,153,927,6,927,178,849,178,849,178,849,178,849,178,-5,-5,849,178,849,178,709,178,-5,-5,-5,-5,-5,-5,-5,-5,-4,2100,-5,-5
72,858,3,2,-4,-4,858,669,435,749,313,749,337,749,337,707,337,707,337,717,23,717,23,717,23,717,23,748,319,717,23,23,717,669,19,698,379,698,379,786,80,7860,800,7860,800,7860,800,7870,5120,7870,800
73,-4,3,1,-4,-4,-4,809,459,697,274,268,856,28,498,707,7,-5,-5,709,274,727,256,-5,-5,-5,-5,-5,-5,727,13,13,727,858,154,-5,-5,739,256,738,5,7380,430,7380,430,7380,50,7280,4960,-5,-5
74,669,3,2,669,915,669,858,313,669,435,669,435,669,435,669,435,669,435,669,435,669,19,669,19,609,185,669,435,869,19,165,869,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,657,3,2,657,280,-4,858,389,858,389,858,319,927,19,927,197,738,197,887,363,809,19,807,277,878,277,878,19,858,277,277,858,858,277,858,277,858,277,787,494,7870,4940,7870,4940,7870,4940,9170,4960,9170,4960
76,338,3,1,-4,-4,769,648,885,429,887,689,805,689,805,689,877,689,804,689,243,689,185,689,185,689,185,19,285,689,805,805,689,689,185,689,185,689,185,857,425,9390,4250,7770,4210,-4,-4,7770,4210,7770,4210
77,-4,3,2,-4,-4,-4,887,459,887,459,857,387,858,128,887,175,718,253,717,375,707,386,717,23,717,253,717,375,717,375,375,717,717,26,717,166,717,19,699,12,6990,120,6990,120,6990,120,6990,120,6990,4810
78,-4,3,2,838,75,838,838,95,838,447,838,447,769,406,609,229,609,229,698,64,609,64,839,95,839,95,839,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,8270,3130,8270,3130,-5,-5,-5,-5,-5,-5
79,-4,3,1,-4,-4,897,858,166,67,869,-4,-4,889,23,707,229,717,25,718,253,717,25,717,255,717,19,717,19,717,7,7,717,717,7,709,25,709,19,697,43,6990,4710,-5,-5,-5,-5,-5,-5,-5,-5
80,-4,3,1,-4,-4,527,527,804,527,689,-5,-5,749,813,-5,-5,-5,-5,-1,-1,639,263,887,277,887,277,887,277,748,277,-3,857,857,156,857,157,857,157,786,232,7860,2320,9990,2320,7860,2310,7860,2320,7860,2310
81,807,3,1,-4,-4,527,-4,-4,-4,-4,-5,-5,657,274,-4,-4,289,444,809,438,807,464,669,883,807,426,748,274,447,213,575,447,447,575,447,19,807,195,-5,-5,6570,2710,6670,2710,-5,-5,-5,-5,-5,-5
82,-4,2,1,-4,-4,-4,-5,-5,-5,-5,-5,-5,339,887,-4,-4,-5,-5,69,579,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,364,587,19,486,69,599,-4,-4,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5
83,527,2,1,-4,-4,638,638,883,638,444,28,365,669,438,638,686,339,679,528,805,-4,-4,-4,-4,667,566,638,889,669,686,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
84,-4,2,1,-4,-4,-4,917,453,628,365,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,319,769,-4,-4,268,686,118,781,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
85,-4,2,1,-4,-4,668,757,514,-4,-4,268,686,527,686,628,686,-5,-5,628,439,-4,-4,757,709,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,247,786,396,871,1890,9600,-4,-4,-4,-4,1890,9600,1890,9600
86,-4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,628,276,628,276,628,276,449,777,777,449,777,449,777,449,509,472,5090,4720,5090,4720,5090,4720,5090,4720,5090,4720
87,-4,2,1,-4,-4,-4,937,889,937,453,-5,-5,728,558,728,453,67,567,67,869,619,277,667,266,697,364,609,365,667,365,-3,-4,669,439,628,274,417,883,617,962,7680,3920,7690,4220,-4,-4,7690,4220,7690,4220
88,-4,2,1,798,191,838,798,189,798,189,248,189,839,444,907,355,907,355,907,355,708,33,708,337,708,316,708,376,708,276,276,708,708,343,708,339,717,23,699,80,-4,-4,2980,8740,2980,8740,2980,8740,2980,8740
89,858,2,2,-4,-4,858,737,313,717,253,717,389,717,376,717,375,717,274,717,375,717,375,717,328,717,375,717,375,717,253,253,717,717,184,739,376,717,253,699,5,6990,50,6990,50,6990,1000,-5,-5,-5,-5
90,-4,3,1,877,133,609,628,365,717,339,717,229,717,229,717,229,717,253,717,229,717,229,717,229,717,64,717,64,717,229,229,717,739,64,717,229,717,64,699,106,6990,1060,6990,1060,6990,1060,6990,1060,6990,1000
91,-4,3,2,-4,-4,-4,-4,-4,657,274,657,274,-4,-4,858,389,197,313,717,313,717,313,189,229,189,64,739,64,848,64,229,189,739,65,739,56,-5,-5,738,143,7290,5700,5580,4700,5580,4700,9170,1100,1080,4850
92,839,3,2,778,922,839,609,274,609,274,839,446,839,446,839,446,839,446,839,446,877,436,879,436,857,436,857,444,857,439,276,857,857,276,857,436,857,436,786,402,7860,4020,7860,4020,7860,4020,7860,4020,7860,4010
93,-4,3,1,338,266,638,628,365,609,276,-4,-4,-4,-4,-4,-4,339,734,339,737,839,436,778,436,339,19,339,19,339,19,19,748,748,19,168,883,168,779,289,896,2890,8960,2890,8960,2890,8960,2890,8960,2890,8960
94,508,3,1,877,755,718,877,18,718,486,887,235,887,889,877,856,877,486,-5,-5,718,486,877,486,718,19,877,889,878,19,558,877,877,558,-5,-5,718,486,908,421,9080,4210,9080,4210,9080,4210,9080,4210,9080,4250
95,639,3,2,197,303,197,379,378,379,337,379,23,379,337,379,389,-4,-4,839,323,-4,-4,628,276,628,337,628,379,628,538,435,637,757,337,838,313,348,33,237,53,2370,530,3380,530,3190,530,3190,530,3190,530
96,677,3,2,209,602,-4,718,313,747,424,678,243,838,19,838,337,838,19,838,339,838,339,838,337,838,339,838,337,838,389,337,838,838,15,838,15,858,19,787,570,8190,5260,8190,5260,8590,5700,8590,5700,8590,5700
97,697,3,2,758,645,668,748,347,839,207,839,95,778,95,839,95,839,447,839,95,839,207,839,207,839,207,839,95,839,207,207,848,838,207,839,207,839,207,817,350,8170,5400,9990,3500,8170,3500,8170,3130,5380,9640
98,-4,3,2,717,355,-4,-4,-4,669,435,669,435,669,435,669,435,669,435,669,435,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
99,657,3,2,259,343,-5,187,313,-5,-5,-5,-5,687,385,259,313,138,307,798,458,697,327,657,274,619,285,609,376,697,274,274,697,619,277,877,313,877,313,916,570,9160,5700,9990,2060,9160,5930,9160,5930,9160,5700
100,-4,3,2,628,310,838,838,446,838,447,-5,-5,669,434,669,435,-4,-4,737,379,927,308,927,313,927,313,927,30,407,19,19,407,927,5,927,5,927,5,957,2,9570,20,9990,2150,9570,2150,9570,2150,9570,2150
101,628,3,1,-4,-4,157,209,56,169,59,537,59,149,59,259,59,168,57,157,19,157,56,157,633,199,56,157,59,247,19,19,247,157,57,157,57,-5,-5,-5,-5,3170,1430,-5,-5,-5,-5,3170,1430,-5,-5
102,-4,3,2,-4,-4,-4,677,446,677,446,677,274,677,276,508,275,927,313,927,313,927,313,927,37,927,5,937,379,429,308,308,429,429,313,917,5,-5,-5,937,586,9370,5860,9370,5860,9370,5860,9370,5860,9370,120
103,-4,3,1,809,310,809,717,274,628,276,698,274,259,225,717,229,717,229,717,64,717,213,717,213,717,64,717,525,717,525,525,717,739,64,739,64,717,64,699,110,6990,1110,6990,1110,6990,1110,6990,1110,7070,1110
104,717,3,2,717,326,717,717,375,839,375,717,375,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,927,375,375,927,717,375,717,375,717,375,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,717,3,2,717,343,717,717,376,717,308,717,424,717,337,717,255,717,386,717,375,77,337,718,254,718,254,937,174,718,254,254,718,927,379,927,379,709,255,-5,-5,6970,840,9990,5200,6970,5200,6970,5200,6970,5200
106,707,3,1,748,381,748,707,357,-4,-4,888,43,888,235,888,229,888,225,888,225,888,225,888,43,888,225,888,79,888,184,78,888,888,76,888,19,888,19,729,43,7290,430,7290,430,7290,430,7290,430,7290,430
107,647,3,1,647,762,647,647,365,658,274,609,274,658,274,867,163,848,27,867,27,848,163,848,174,878,27,848,163,848,27,105,839,839,27,737,27,737,27,758,62,8390,20,8390,20,8390,20,8390,20,8390,20
108,647,3,1,647,374,507,677,365,609,877,677,365,508,365,639,806,849,148,569,23,857,156,717,254,647,365,647,364,937,389,178,927,849,178,849,178,849,178,727,210,7270,2100,7270,2100,7270,2100,7270,2100,7270,2100
109,-4,3,2,-4,-4,708,708,313,717,308,717,389,717,308,717,375,717,253,717,65,717,344,717,375,717,375,717,375,717,253,64,717,717,64,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,197,3,1,867,343,867,867,19,858,19,609,229,748,229,707,338,707,389,707,59,707,64,-3,-3,717,64,717,64,717,308,308,717,717,64,717,55,717,55,699,110,6990,1100,9990,1110,7380,1020,7380,1020,7380,1020
111,637,3,2,717,372,717,717,389,717,313,-4,-4,-4,-4,-4,-4,-4,-4,728,873,-4,-4,-4,-4,-4,-4,778,406,778,486,796,159,839,447,839,447,839,447,827,365,8270,3650,8270,3650,8270,3650,8270,3650,8270,3650
112,-4,3,2,669,914,-4,669,435,-4,-4,348,889,609,418,748,313,777,427,568,365,748,376,449,378,587,23,448,376,448,376,468,778,778,468,778,406,-5,-5,786,403,1990,7750,8680,4120,8170,4610,8170,2540,8170,2330
113,-4,3,1,839,913,-4,-4,-4,-4,-4,-4,-4,-4,-4,69,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
