"R0000100","R0046300","R0214700","R0214800","R0263300","R0263400","R0446300","R0702000","R0828000","R0944900","R0945300","R1255300","R1255700","R1650100","R1650500","R1922700","R1923100","R2317500","R2317900","R2525300","R2525700","R2924300","R2924700","R3127000","R3127400","R3522700","R3523100","R3727700","R3728100","R4182000","R4193700","R4587901","R4587903","R5270500","R5270900","R6472100","R6473700","R6591300","R6592900","R7209100","R7209600","R7897500","R7898000","T0137900","T0138400","T1297500","T1298000","T2326000","T2326500","T3308200","T3308700"
11077,-4,1,1,-4,-4,-5,-5,-5,729,357,848,805,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11078,-4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11079,-4,3,1,-4,-4,-4,-4,-4,669,437,717,579,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11080,-4,3,1,609,305,708,69,567,69,657,69,567,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11081,-4,3,1,-4,-4,-4,-4,-4,-4,-4,168,783,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11082,-4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,667,804,748,316,747,426,748,389,869,69,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8470,4220,8470,4220,8470,4220
11083,-4,2,1,139,656,-4,-5,-5,838,447,838,447,838,453,417,804,417,804,188,754,209,754,347,766,219,766,-4,-4,208,683,-5,-5,208,683,268,878,268,878,-4,-4,7780,5620,7780,5620,-4,-4,7780,5620,-5,-5
11084,-4,3,1,-4,-4,68,447,523,449,527,448,577,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11085,-4,1,1,-4,-4,667,-5,-5,-5,-5,-5,-5,309,566,69,566,69,569,718,319,718,469,777,469,718,469,718,469,718,469,469,718,718,579,69,567,69,567,77,653,2870,6520,770,6530,770,6530,770,6530,770,6530
11086,-4,3,1,-4,-4,-4,-4,-4,449,527,479,869,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11087,-4,2,1,-4,-4,-4,747,424,747,424,747,424,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11088,-4,2,1,-4,-4,-4,317,734,398,549,317,739,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11089,-4,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
